rating,review
5.0,"(Translated by Google) Incidentally we ordered 3 twin bed rooms all right here. Too bad I haven't had a chance to take a photo of the room... Friendly service, and the rooms are ok for the price of the people, although parking the car is difficult and you have to be far from the inn but it is safe and understandable at least for very limited land. Just a suggestion, it is necessary to control the cleanliness of the bathroom more and it is necessary to add another socket for charging 2 gadgets or more... (Original) Kebetulan kami pesan 3 kamar twin bed semua pas kesini. Sayang sekali belum sempat foto kamarnya... Pelayanan ramah, dan kamar ok lah untuk harga merakyat, meskipun parkir mobil susah dan harus jauh dari penginapan tapi aman dan bisa dimaklumi setidaknya untuk lahan yang sangat terbatas. Sekedar saran, Perlu untuk lebih mengontrol kebersihan kamar mandinya lagi aja sama perlu tambah stop kontak lagi untuk charging 2 Gadget/lebih..."
5.0,"(Translated by Google) the place is very comfortable. very close to the city center, the spirit is very comfortable and clean, definitely suitable for those who want to vacation with family or go home this Eid. for those of you who want to make a booking, you can go to the admin, very friendly, give a cheap price from the application price for the number 0878217821219 (Original) tempatnya nyaman banget nih. deket banget sama pusat kota semangat sangat nyaman dan bersih pastinya cocok buat yang mau liburan sama keluarga atau mudik lebaran ini. buat kalian yang mau booking bisa ke adminya ramah banget ngasih harga murah dari harga aplikasi untuk nomernya 0878217821219"
5.0,"(Translated by Google) The location of the hotel is close to the crowd, the staff is friendly, the stay is comfortable, the price is friendly, I ordered via wa, I got a discount too, this hotel is best 089519457185 (Original) Letak hotel dekat dengan keramaian ,staffnya ramah nginapnya nyaman harganya bersahabat aku pesan lewat wa dapat diskon juga , terbaik hotel ini 089519457185"
5.0,"(Translated by Google) 5 stars. Rooms are ok, AC is cold, hot water, shower is loud... Cheap! (Original) 5 star lah. Kamar ok, AC dingin, air panas, showernya kenceng... Murah!"
5.0,"(Translated by Google) Cheap, clean and comfortable lodging, very friendly service. I contacted this reseller 082139819879 (Original) Penginapan murah, bersih dan nyaman, pelayanan sgt ramah. Saya menghubungi reseller ini 082139819879"
4.0,(Translated by Google) Strategic place - pretty clean rooms - affordable prices (Original) Tempat strategis - kamar lumayan bersih - harga terjangkau
5.0,"(Translated by Google) Economical, clean and comfortable lodging. Affordable price can book WA 087760264103 (Original) Penginapan ekonomis, bersih dan nyaman. Harga terjangkau bisa booking WA 087760264103"
5.0,"(Translated by Google) The hotel & rooms are clean, neat, when you first enter the room, it smells really good. The room is also quite big. The bathroom and shower are also clean. Very close to the city center. Just walk to the intersection area. Close to various kinds of culinary. Indomaret Alfamart is also nearby. The minus is in the parking lot, which only fits 2 cars. But later, you will definitely be directed to where to park the car. (Original) Hotel & Kamarnya bersih, rapi, pas awal masuk kmr jg wangi banget. Kamarnya jg ckp besar. Kmr mandi mandinya jg bersih. Dkt bgt sama pusat kota. Cukup jln kaki utk ke area simpanglima. Dkt jg dgn berbagai macam kuliner. Indomaret alfamart jg dkt. Cm minus di tempat parkir nya aj yg cm muat 2 mobil. Tp ntar pasti di arahin kok utk memarkirkan mobilnya di mana."
4.0,"(Translated by Google) With a very cheap price, the rooms are quite nice and comfortable, the bathroom is also clean, the hot water also works. Already got standard soap and toothbrush The room also smells good. It's just that it doesn't provide non-cash payment instruments. The place is slightly into the alley and the parking lot is as is, usually it will be put in front of the local residents' houses. If you are looking for a place that is just staying the night, this is enough in my opinion. (Original) Dengan harga yang sangat murah, kamarnya cukup bagus dan nyaman, kamar mandinya juga bersih, air panasnya juga bekerja. Sudah dapat sabun dan sikat gigi standard Kamarnya juga wangi. Hanya saja belum menyediakan alat pembayaran non tunai. Tempatnya agak masuk ke gang dan tempat parkirnya se-adanya, biasanya akan di taruh di depan rumah warga sekitar. Kalau cari tempat yang sekedar bermalam saja ini sudah cukup menurut saya."
3.0,"(Translated by Google) The price is cheap because booking through my subscription admin but the hotel just lacks maintenance 🙏 Btw, if you want to book/find a recommended Reddoorz hotel, you can go through the admin, which I often use via WhatsApp, this number is 087771803507 (Original) Harga nya murah karna booking lewat admin langganan saya tapi hotelnya kurang perawatan saja 🙏 Btw kalo mau booking/dicarikan hotel reddoorz yg rekomended bisa lewat admin yg sering saya pakai lewat w.a aja ini nomer nya 087771803507"
